exp_name,Train Acc,Valid Acc,Test  Acc,Train AUC,Valid AUC,Test AUC
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|ToeknizerStemma()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False, norm='l1')|BernoulliNB()",0.9742,0.9729,0.955,0.9895,0.9884,0.9838
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|ToeknizerStemma()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB()",0.9742,0.9729,0.955,0.9895,0.9884,0.9838
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|ToeknizerStemma()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB(alpha=0.5)",0.9831,0.9825,0.9606,0.9932,0.9886,0.9881
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|ToeknizerStemma()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB(alpha=0.5)",0.9831,0.9825,0.9606,0.9932,0.9886,0.9881
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False, norm='l1')|BernoulliNB(alpha=0.5)",0.9831,0.9825,0.9606,0.9932,0.9886,0.9881
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False, norm='l1')|BernoulliNB(alpha=0.5)",0.9828,0.9825,0.9606,0.9932,0.9882,0.9881
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Toeknizer()|Bypassed()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB(alpha=0.5)",0.9831,0.9825,0.9625,0.9937,0.9885,0.9873
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Bypassed()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB(alpha=0.5)",0.952,0.9601,0.9418,0.9627,0.9471,0.9278
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Bypassed()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9169,0.9059,0.8987,0.957,0.9335,0.9009
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9629,0.9553,0.94,0.9905,0.9767,0.9861
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9629,0.9553,0.94,0.9905,0.9767,0.986
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9629,0.9553,0.94,0.9905,0.9767,0.986
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|CountVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9881,0.9809,0.97,0.9899,0.9759,0.99
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|HashingVectorizer(lowercase=False)|BernoulliNB(alpha=0.25)",0.8646,0.8644,0.8629,0.5,0.5,0.5
"Gridserach_stpes_7_CleanMessages()|MessageStemma()|Toeknizer()|PosHindi()|ColumnSelector(cols='Message', drop_axis=True)|CountVectorizer(lowercase=False)|MultinomialNB(alpha=0.25)",0.9935,0.9708,0.9575,0.999,0.9625,0.9518
"Gridserach_stpes_7_CleanMessages()|Bypassed()|Toeknizer()|Bypassed()|ColumnSelector(cols='Message', drop_axis=True)|TfidfVectorizer(lowercase=False)|BernoulliNB(alpha=0.25)",0.9928,0.9724,0.9575,0.9991,0.9778,0.968
